Nom de l'entreprise,E-mail,Téléphone,Description de l'activité (anglais),Secteur majeur BvD,Section NACE Rév. 2
INTITEK,commercial@intitek.fr,+33 4 78 95 63 05,"Engaged in the provision of computer programming, data processing, and other computer related services",Autres services,J - Information et communication
VEEAM SOFTWARE FRANCE,france@veeam.com,+33 1 75 61 27 40,"Operates as an information technology company primarily engaged in developing backup, disaster recovery and virtualization management software for VMware and Hyper-V virtual environments",Autres services,J - Information et communication
GALITT,contact@galitt.com,+33 1 77 70 28 00,Engaged in the provision of software consulting and engineering services,Autres services,J - Information et communication
CHAPTER 2,contact@chapter2.fr,+33 1 80 48 04 10,"Engaged in the production, distribution and marketing of motion picture and video films",Autres services,J - Information et communication
LOGWARE INFORMATIQUE,s.gauthier@logware.fr,+33 1 53 94 71 20,"Engaged in the development, conception and maintenance of information technology systems",Autres services,J - Information et communication
VIVERIS TECHNOLOGIES,accueil@viveris.fr,+33 1 41 73 08 20,Engaged in providing technological engineering services for large and medium-sized companies,Autres services,J - Information et communication
CIS VALLEY,m.etheve@cis-valley.fr,+33 5 56 11 22 22,Engaged in the provision of information systems,Autres services,J - Information et communication
GLOBAL CLOUD XCHANGE,reception@relianceglobalcom.com,+33 1 46 96 54 00,Engaged in the management of telecommunication networks primarily in France,Télécommunications,J - Information et communication
EDOKIAL,contact@edokial.com,+33 4 77 48 44 44,Engaged in the provision of data processing and other related services; Involved in providing electronic data processing services,Autres services,J - Information et communication
ALTURING,telintrans@telintrans.fr,+33 1 74 22 82 00,"Engaged in the provision of computer programming, data processing, and other computer related services",Autres services,J - Information et communication
ESKWAD,office@eskwad.fr,+33 1 44 90 70 00,Engaged in motion picture production and distribution,Autres services,J - Information et communication
DEVOTEAM CONSULTING,consulting@devoteam.com,+33 1 41 49 48 00,Engaged in investing in the securities of other companies,Autres services,J - Information et communication
ATEME SA,ateme@actus.fr,+33 1 69 35 89 89,The Company specializes in developing and manufacturing video compression equipments and software,"Edition, impression",J - Information et communication
A C M I,info@acmi.fr,+33 1 53 46 31 00,Engaged in the provision of computer programming services,Autres services,J - Information et communication
TRANSATEL,info-request@transatel.com,+33 1 74 95 74 00,Engaged in the provision of telecommunication services,Télécommunications,J - Information et communication
L'INDEPENDANT DU MIDI,direction.generale@lindependant.com,+33 4 68 64 88 88,Engaged in the publishing and printing of newspapers,"Edition, impression",J - Information et communication
INTRINSEC,rh@intrinsec.com,+33 1 41 91 77 77,Engaged in the provision of security and information management infrastructure solutions,Autres services,J - Information et communication
SUNGARD AVAILABILITY SERVICES FRANCE SA,info@sungard.com,+33 1 64 62 86 10,Engaged in the provision of disaster recovery solutions,Autres services,J - Information et communication
DEUTSCHE POST GLOBAL MAIL FRANCE SAS,info@dhl.com,+33 1 41 08 31 95,"Engaged in the provision of a range of direct marketing, postal and courier services",Télécommunications,H - Transports et entreposage
EMI MUSIC PUBLISHING FRANCE,customerrelations_fra@emimusicpub.com,+33 1 42 18 52 86,Engaged in the publishing business,"Edition, impression",J - Information et communication
C PRODUCTIONS,fmoizan@m6.fr,+33 1 41 92 66 66,"Engaged in the provision of news, pictures, and features and in supplying news reporting services to newspapers and periodicals",Autres services,J - Information et communication
SPORT +,clement.hellichpraquin@canal-plus.com,+33 1 71 35 35 35,Engaged in radio and television broadcasting,Autres services,J - Information et communication
TELECITYGROUP FRANCE SA,fr.info@telecity.com,+33 1 49 97 30 33,Engaged in the provision of computer programming services,Autres services,J - Information et communication
LE PACTE,contact@le-pacte.com,+33 1 44 69 59 59,"Engaged in the production, co-production, purchase, sale, leasing, distribution, construction, operation, representation, reproduction of all audiovisual works and the purchase, sale, lease, distribution, operation of all catalogs, orders, licenses attached to all audiovisual works",Autres services,J - Information et communication
SERVIWARE,contact@serviware.com,+33 1 64 62 09 00,Engaged in the provision of IT consulting and other related services,Autres services,J - Information et communication
QUANTEAM,contact@quanteam.fr,+33 1 56 68 77 80,Engaged in computer consultancy activities,Autres services,J - Information et communication
CONNECTED WORLD SERVICES FRANCE,backoffice.tphdirect@phonehouse.fr,+33 1 85 76 09 00,Independent retailer for telecommunications and entertainment offering the full spectrum of products in the fields mobile and fixed line communications and multimedia,Télécommunications,J - Information et communication
MORGANE PRODUCTION,steillet@morgane-prod.fr,+33 1 41 43 71 00,Engaged in motion picture and video production,Autres services,J - Information et communication
REGIONSJOB,formation@regionsjob.com,+33 2 23 44 80 44,Engaged in the operation of web sites that broadcasts jobs from eight large French regions,Autres services,J - Information et communication
UTI - UNION TECHNOLOGIES INFORMATIQUE,christian.aumard@uti-group.com,+33 1 41490510,The Company is a computer services company operating in three sectors of activity:- delegation of staff : supply of computer technicians under government contracts;- engineering and system integration services: the services are provided on a contract basis;- software publishing: infrastructure and management software programs.,Autres services,J - Information et communication
CAPA DRAMA,capa.drama@capatv.com,+33 1 40 45 48 00,Engaged in motion picture and video production,Autres services,J - Information et communication
STUDYRAMA,info@studyrama.com,+33 1 41 06 59 00,"Operates as a newspaper, periodical, book, and directory publisher","Edition, impression",J - Information et communication
ENTREPRENEURS ET INVESTISSEURS TECHNOLOGIES,contact@ei-technologies.com,+33 1 80 03 88 00,Engaged in the provision of specialized information technology (IT) services,Autres services,J - Information et communication
IGE + XAO,info@ige-xao.com,+33 5 62 74 36 36,"The Company specializes in the publishing, marketing, and maintenance of CAD software used for designing and maintaining the electrical portion of industrial production processes, installations, and cabling.",Autres services,J - Information et communication
CINEVILLE,cineville@cineville.fr,+33 2 99 83 50 00,Engaged in the activities of film or movie production,Autres services,J - Information et communication
SOC NOUV ETUDES EDITIONS PUBLICITE,abonnement@argusauto.com,+33 1 53 29 11 00,Engaged in publishing journals and periodicals,"Edition, impression",J - Information et communication
LA CHAINE INFO,vperre@lci.fr,+33 1 41 41 23 45,A French cable news channel,Autres services,J - Information et communication
PROGINOV,proginov@gmail.com,+33 2 51 70 93 93,"Engaged in providing computer programming, data processing, and other computer related services","Edition, impression",J - Information et communication
PARAMOUNT PICTURES FRANCE SARL,service_media@paramount.com,+33 1 40 87 47 00,Engaged in the distribution of motion picture films,Autres services,J - Information et communication
SOCIETE DE DEVELOPPEMENT DE RADIO DIFFUSION,contact.antenne@funradio.fr,+33 1 40 70 40 70,Operates a radio station specializing as a fm (frequency modulation) network,Autres services,J - Information et communication
NOMIOS,info@nomios.fr,+33 1 41 10 28 40,"Engaged in the provision of computer programming, data processing, and other computer related services",Autres services,J - Information et communication
DIMO SOFTWARE,dimo@dimosoftware.com,+33 4 72 86 01 90,Engaged in the publication of software,"Edition, impression",J - Information et communication
LAVOISIER SAS,info@lavoisier.fr,+33 1 47 40 67 00,"Engaged in the publishing and distribution of technical, scientific and medical books","Edition, impression",J - Information et communication
GALATEE FILMS,mail@galateefilms.com,+33 1 44 29 21 40,Motion picture and video production and development,Autres services,J - Information et communication
TRSB - TECHNOLOGIES RESEAUX SYSTEMES BASES DE DONNEES,info@trsb.net,+33 1 76 21 42 00,"Engaged in the provision of computer systems design and related services, which include computer consultancy, data base development, data processing consultancy, disk and diskette conversion services and recertification services, computer hardware requirement analysis and tape recertification services",Autres services,J - Information et communication
